"Inclui transações da Amazon Marketplace, Fulfillment by Amazon (FBA), e Amazon Webstore"
"Todas as quantias em BRL, a menos que especificado"
"Definições:"
"Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos, envio e embalagem para presente."
"Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência."
"Outras taxas de transação: Inclui cobranças retroativas de envio, retenção de envi, taxas por item e taxas de coleta de impostos de vendas."
"Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes, consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido."
"data/hora","id de liquidação","tipo","id do pedido","sku","descrição","quantidade","mercado","tipo de conta","atendimento","cidade do pedido","estado do pedido","postal do pedido","vendas do produto","créditos de remessa","créditos de embalagem de presente","descontos promocionais","imposto de vendas coletados","tarifas de venda","taxas fba","taxas de outras transações","outro","total"
"31 de dez. de 2025 21:40:40 GMT-8","25380154601","Pedido","702-2556151-4641831","NE-POTU-KWNU","Planner Financeiro Mensal Datado 2026, Roda Da Vida A5 - Planner premium Agenda 2026 Planejamento anual Organização pessoal Metas e objetivos Gestã","1","amazon.com.br","Visa Crédito","Vendedor","Paranaguá","Paraná","83206","78,90","0","0","0","0","-10,26","0","0","0","68,64"
"31 de dez. de 2025 22:37:17 GMT-8","25380154621","Pedido","702-0625929-6045861","4K-3HFM-I3A1","Planner 2026 - Transforme seus dias com o planner que une beleza e funcionalidade Rosa","1","amazon.com.br","Boleto","Amazon","Manaus","AM","69077","78,90","0","0","0","0","-10,26","0","0","0","68,64"
"1 de jan. de 2026 01:13:58 GMT-8","25380157171","Pedido","702-0340446-0677038","MQ-STXD-11EM","Planner Premium 2026 - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda S","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","São José do Rio Preto","SP","15025","68,90","0","0","0","0","-8,96","0","0","0","59,94"
"1 de jan. de 2026 02:05:12 GMT-8","25380154621","Pedido","701-8757466-2372245","Q5-ZAFB-NUEF","Planner 2026 - Respire, floresça, torne-se - um planner para sua melhor versão!","1","amazon.com.br","Boleto","Amazon","Ribeirão Preto","SP","14090","78,90","8,90","0","-8,90","0","-10,26","0","0","0","68,64"
"1 de jan. de 2026 02:10:45 GMT-8","25380154621","Pedido","701-3354375-9746624","Q5-ZAFB-NUEF","Planner 2026 - Respire, floresça, torne-se - um planner para sua melhor versão!","1","amazon.com.br","Boleto","Amazon","Betim","MG","32641","78,90","8,90","0","-8,90","0","-10,26","0","0","0","68,64"
"1 de jan. de 2026 02:10:54 GMT-8","25380154621","Pedido","701-7364122-6859437","4O-0ACQ-A4CK","Planner Financeiro Mensal 2026, Roda Da Vida A5 -Planejamento anual, Organização pessoal Metas e objetivos, Gestão financeira Monitoramento de saú","1","amazon.com.br","Boleto","Amazon","Fortaleza","CE","60110","78,90","0","0","0","0","-10,26","0","0","0","68,64"
"1 de jan. de 2026 03:41:21 GMT-8","25380157171","Pedido","701-2157943-5958606","DE-Y8HD-W1WN","Album fotografico scrapbook - Coleção Corações (Rosa)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","São Sebastião do Caí","RS","95760","68,90","0","0","0","0","-8,96","0","0","0","59,94"
"1 de jan. de 2026 07:34:43 GMT-8","25380157171","Pedido","702-1268560-0291413","0Q-EK6Z-SV84","Planner 2026 Floral - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda Se","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","Pedro Leopoldo","MG","33250","78,90","0","0","0","0","-10,26","0","0","0","68,64"
"1 de jan. de 2026 13:46:34 GMT-8","25407411961","Reembolso","702-3382522-4115444","0Q-EK6Z-SV84","Planner 2026 Floral - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda Se","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","Juazeiro do Norte","CE","63050","-78,90","-21,57","0","0","0","8,21","0","0","0","-92,26"
"1 de jan. de 2026 18:42:06 GMT-8","25407411961","Taxa de serviço","","","Custo de Publicidade","","","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","-2.520,33","0","-2.520,33"
"2 de jan. de 2026 02:26:02 GMT-8","25406929241","Pedido","701-0021077-6847405","XJ-VPUJ-PW4U","Planner 2026 Floral - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda Se","1","amazon.com.br","Boleto","Amazon","Ibirité","MG","32420","78,90","0","0","0","0","-10,26","0","0","0","68,64"
"2 de jan. de 2026 02:49:16 GMT-8","25407411961","Taxa de serviço","","","Custo de Publicidade","","","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","-345,18","0","-345,18"
"2 de jan. de 2026 04:21:29 GMT-8","25407650401","Pedido","701-2151712-2626612","DE-Y8HD-W1WN","Album fotografico scrapbook - Coleção Corações (Rosa)","1","amazon.com.br","Visa Crédito","Amazon","Vila Velha","ES","29102","68,90","0","0","0","0","-8,96","0","0","0","59,94"
"2 de jan. de 2026 04:31:51 GMT-8","25407411961","Pedido","702-2051678-6985824","OB-4RHT-YARW","Planner 2026 Napolitano - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agend","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Salvador","BA","41820","78,90","0","0","0","0","-10,26","0","0","0","68,64"
