"Inclui transações da Amazon Marketplace, Fulfillment by Amazon (FBA), e Amazon Webstore"
"Todas as quantias em BRL, a menos que especificado"
"Definições:"
"Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos, envio e embalagem para presente."
"Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência."
"Outras taxas de transação: Inclui cobranças retroativas de envio, retenção de envi, taxas por item e taxas de coleta de impostos de vendas."
"Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes, consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido."
"data/hora","id de liquidação","tipo","id do pedido","sku","descrição","quantidade","mercado","tipo de conta","atendimento","cidade do pedido","estado do pedido","postal do pedido","vendas do produto","créditos de remessa","créditos de embalagem de presente","descontos promocionais","imposto de vendas coletados","tarifas de venda","taxas fba","taxas de outras transações","outro","total"
"31 de jan. de 2026 20:41:25 GMT-8","25628967091","Pedido","702-7766176-7718654","VW-M9WL-7RY7","Caderno Scrapbook - Kraft - 20 Folhas - 20x20cm - Bege - Sem Pauta - Folhas Grossas - Album de Fotos - Album de fotos artesanal - Scrapbook colagem de","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","Rio de Janeiro","RJ","22745","58,90","0","0","0","0","-7,07","0","0","0","51,83"
"31 de jan. de 2026 22:09:19 GMT-8","25629750391","Reembolso","701-5103775-8224268","0Q-EK6Z-SV84","Planner 2026 Floral - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda Se","1","amazon.com.br","Visa Crédito","Vendedor","Planaltina","Distrito Federal","73401","-78,90","-25,90","0","0","0","10,90","0","0","0","-93,90"
"31 de jan. de 2026 22:45:34 GMT-8","25629575961","Pedido","702-5880912-6350618","MY-P05M-MBEP","Caderno Quadriculado 1x1cm, Capa dura, diversas capas, 80 folhas, 24x15cm","1","amazon.com.br","Boleto","Vendedor","São José dos Pinhais","PR","83183","38,90","0","0","0","0","-5,06","0","0","0","33,84"
"31 de jan. de 2026 22:47:50 GMT-8","25629750391","Pedido","701-6871242-7225031","MQ-STXD-11EM","Planner Premium 2026 - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda S","1","amazon.com.br","Visa Crédito","Vendedor","Rio de Janeiro","RJ","22230","68,90","0","0","0","0","-8,96","0","0","0","59,94"
"1 de fev. de 2026 00:15:55 GMT-8","25628967091","Pedido","702-9631962-2837836","VQ-0TZ7-QK96","Planner 2026 - Floresça que inspira leveza e organização!","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","Sao Paulo","SP","02013","78,90","0","0","0","0","-10,26","0","0","0","68,64"
"1 de fev. de 2026 00:26:15 GMT-8","25629575961","Pedido","701-0455245-0558605","RA-KICF-0Q47","Caderno Preto 20x20cm - Scrapbook Álbum De Fotos Preto 20 Folhas / 40 Páginas - Gramatura 200, Folhas Grossas","1","amazon.com.br","Boleto","Vendedor","São Paulo","SP","05628","58,90","0","0","0","0","-7,07","0","0","0","51,83"
"1 de fev. de 2026 00:59:36 GMT-8","25629575941","Pedido","701-4769383-4542629","YL-NANJ-F7TC","Caderno Preto 20x20cm - Scrapbook Álbum De Fotos Preto 20 Folhas / 40 Páginas - Gramatura 200, Folhas Grossas","1","amazon.com.br","Elo","Amazon","Manaus","AM","69049","68,90","0","0","0","0","-8,27","0","0","0","60,63"
"1 de fev. de 2026 03:50:51 GMT-8","25629575961","Pedido","702-4241583-2769029","BT-HCTV-ZOJY","Planner 2026 Napolitano - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agend","1","amazon.com.br","Boleto","Vendedor","Rio de Janeiro","RJ","23092","78,90","0","0","0","0","-10,26","0","0","0","68,64"
"1 de fev. de 2026 03:55:23 GMT-8","25629575961","Pedido","702-5178796-1357865","MQ-STXD-11EM","Planner Premium 2026 - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda S","1","amazon.com.br","Boleto","Vendedor","Curitiba","PR","82650","68,90","0","0","0","0","-8,96","0","0","0","59,94"
"1 de fev. de 2026 04:48:12 GMT-8","25628967091","Pedido","702-4995157-1173817","MQ-STXD-11EM","Planner Premium 2026 - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda S","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","Cruzeiro","SP","12712","68,90","0","0","0","0","-8,96","0","0","0","59,94"
"1 de fev. de 2026 04:49:33 GMT-8","25628967091","Pedido","701-4273260-1105064","VW-M9WL-7RY7","Caderno Scrapbook - Kraft - 20 Folhas - 20x20cm - Bege - Sem Pauta - Folhas Grossas - Album de Fotos - Album de fotos artesanal - Scrapbook colagem de","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","Brasília","DF","70865","58,90","0","0","0","0","-7,07","0","0","0","51,83"
"1 de fev. de 2026 05:24:27 GMT-8","25628967091","Pedido","702-9357616-2790637","A9-81RP-O347","Planner Financeiro Mensal 2026, Roda Da Vida A5 -Planejamento anual, Organização pessoal Metas e objetivos, Gestão financeira Monitoramento de saú","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","São José dos Pinhais","PR","83045","68,92","0","0","0","0","-8,96","0","0","0","59,96"
"1 de fev. de 2026 05:35:49 GMT-8","25629750391","Pedido","701-1133784-5073057","MY-P05M-MBEP","Caderno Quadriculado 1x1cm, Capa dura, diversas capas, 80 folhas, 24x15cm","1","amazon.com.br","Visa Crédito","Vendedor","SOROCABA","SAO PAULO","18052","38,90","0","0","0","0","-5,06","0","0","0","33,84"
"1 de fev. de 2026 05:46:39 GMT-8","25629750391","Pedido","701-4396012-0459453","MY-P05M-MBEP","Caderno Quadriculado 1x1cm, Capa dura, diversas capas, 80 folhas, 24x15cm","1","amazon.com.br","Visa Crédito","Vendedor","Brasília","DF","70380","38,90","0","0","0","0","-5,06","0","0","0","33,84"
"1 de fev. de 2026 05:56:30 GMT-8","25628967091","Pedido","702-8879979-0383425","RA-KICF-0Q47","Caderno Preto 20x20cm - Scrapbook Álbum De Fotos Preto 20 Folhas / 40 Páginas - Gramatura 200, Folhas Grossas","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","Curitiba","PR","80740","58,90","0","0","0","0","-7,07","0","0","0","51,83"
"1 de fev. de 2026 06:04:48 GMT-8","25629575961","Pedido","701-8483440-5472231","VW-M9WL-7RY7","Caderno Scrapbook - Kraft - 20 Folhas - 20x20cm - Bege - Sem Pauta - Folhas Grossas - Album de Fotos - Album de fotos artesanal - Scrapbook colagem de","1","amazon.com.br","Boleto","Vendedor","Cascavel","PR","85813","58,90","0","0","0","0","-7,07","0","0","0","51,83"
"1 de fev. de 2026 06:53:52 GMT-8","25628967091","Pedido","701-5033526-4671456","KC-60PW-7A3A","Agenda para Creche Escolar Infantil - Modelos Encantadores para Meninos e Meninas (Safari Baby)","1","amazon.com.br","Crédito Mastercard e outros","Vendedor","Belo Horizonte","Minas Gerais","30575","59,90","0","0","0","0","-7,79","0","0","0","52,11"
