data/hora,id de liquidação,tipo,id do pedido,sku,descrição,quantidade,mercado,tipo de conta,atendimento,cidade do pedido,estado do pedido,postal do pedido,vendas do produto,créditos de remessa,créditos de embalagem de presente,descontos promocionais,imposto de vendas coletados,tarifas de venda,taxas fba,taxas de outras transações,outro,total,Nome do Mês,Ano
31/12/2025,25380154601,Pedido,702-2556151-4641831,NE-POTU-KWNU,"Planner Financeiro Mensal Datado 2026, Roda Da Vida A5 - Planner premium Agenda 2026 Planejamento anual Organização pessoal Metas e objetivos Gestã",1.0,amazon.com.br,Visa Crédito,Vendedor,Paranaguá,Paraná,83206.0,"78,90",0,0,0,0,"-10,26",0,0,0,"68,64",Dezembro,2025
31/12/2025,25380154621,Pedido,702-0625929-6045861,4K-3HFM-I3A1,Planner 2026 - Transforme seus dias com o planner que une beleza e funcionalidade Rosa,1.0,amazon.com.br,Boleto,Amazon,Manaus,AM,69077.0,"78,90",0,0,0,0,"-10,26",0,0,0,"68,64",Dezembro,2025
01/01/2026,25380157171,Pedido,702-0340446-0677038,MQ-STXD-11EM,"Planner Premium 2026 - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda S",1.0,amazon.com.br,Crédito Mastercard e outros,Vendedor,São José do Rio Preto,SP,15025.0,"68,90",0,0,0,0,"-8,96",0,0,0,"59,94",Janeiro,2026
01/01/2026,25380154621,Pedido,701-8757466-2372245,Q5-ZAFB-NUEF,"Planner 2026 - Respire, floresça, torne-se - um planner para sua melhor versão!",1.0,amazon.com.br,Boleto,Amazon,Ribeirão Preto,SP,14090.0,"78,90","8,90",0,"-8,90",0,"-10,26",0,0,0,"68,64",Janeiro,2026
01/01/2026,25380154621,Pedido,701-3354375-9746624,Q5-ZAFB-NUEF,"Planner 2026 - Respire, floresça, torne-se - um planner para sua melhor versão!",1.0,amazon.com.br,Boleto,Amazon,Betim,MG,32641.0,"78,90","8,90",0,"-8,90",0,"-10,26",0,0,0,"68,64",Janeiro,2026
01/01/2026,25380154621,Pedido,701-7364122-6859437,4O-0ACQ-A4CK,"Planner Financeiro Mensal 2026, Roda Da Vida A5 -Planejamento anual, Organização pessoal Metas e objetivos, Gestão financeira Monitoramento de saú",1.0,amazon.com.br,Boleto,Amazon,Fortaleza,CE,60110.0,"78,90",0,0,0,0,"-10,26",0,0,0,"68,64",Janeiro,2026
01/01/2026,25380157171,Pedido,701-2157943-5958606,DE-Y8HD-W1WN,Album fotografico scrapbook - Coleção Corações (Rosa),1.0,amazon.com.br,Crédito Mastercard e outros,Amazon,São Sebastião do Caí,RS,95760.0,"68,90",0,0,0,0,"-8,96",0,0,0,"59,94",Janeiro,2026
01/01/2026,25380157171,Pedido,702-1268560-0291413,0Q-EK6Z-SV84,"Planner 2026 Floral - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda Se",1.0,amazon.com.br,Crédito Mastercard e outros,Vendedor,Pedro Leopoldo,MG,33250.0,"78,90",0,0,0,0,"-10,26",0,0,0,"68,64",Janeiro,2026
01/01/2026,25407411961,Reembolso,702-3382522-4115444,0Q-EK6Z-SV84,"Planner 2026 Floral - Planejamento Anual com Roda da Vida A5, Gestão Financeira, Organização Pessoal, Metas e Saúde, Capa Dura Laminada, Agenda Se",1.0,amazon.com.br,Crédito Mastercard e outros,Vendedor,Juazeiro do Norte,CE,63050.0,"-78,90","-21,57",0,0,0,"8,21",0,0,0,"-92,26",Janeiro,2026
01/01/2026,25407411961,Taxa de serviço,,,Custo de Publicidade,,,Crédito Mastercard e outros,,,,,0,0,0,0,0,0,0,"-2.520,33",0,"-2.520,33",Janeiro,2026
